text,kelas
cimahi hayang cimbuleuit pan kota bapak naha ciumbuleuit mati lampu bapak,0
jumat sudah ayo ah menggoes bareng hahahahhahah,1
hayu wargi bandung tiasa sarumping mangga ramekeun jalan bandung dinten ieu aku,1
diri taman jomblo bandung ridwan kamil agung dewa jomblo akbar besar fadil gadang gede gemilang hebat istimewa kudus luhur mulia penting super terhormat teristimewa terkemuka termasyhur tertinggi utama,1
siapa yang jaga siapa yang pelihara kalau rusak kaya begini siapa yang tanggung jawab binasa busuk subur,0
tetot fera sudah punya sim bapak fera tidak punya sim tapi sudah jalan bapak pagi pagi depan pasar uber,1
beliau lahir pagerageung ti tasik bapak good bye grandpa you will be missed,1
busy at sir what doa you say kababayan in english,1
walikota dengan program biopori saurna kbb plesir hongkong cari bibit cakar langit bade pelak cihideung kitu,1
bapak fera tidak punya sim tapi sudah jalan bapak pagi pagi depan pasar ujungberung suka macet sama dagang pinggir cinta gemar sayang senang sendat serat,0
kelurahan sukamaju cimanggis depok urus surat jamsostek hampir bulan belum dapat tandatangan lurah alasan sedang umroh aneh abnormal absurd ajaib asing eksentrik eksotis ganjil garib heran jarang langka luar biasa,0
bapak kapan bandung karya bapak rindu diri susah hati,1
pagi bapak tinjau empat supratman anak kecil ngemis ibu tunggu setor pom bensin terima kasih bapak muda sedikit sipil,1
walikota bandung lantik elih sudiapermana,1
bapak kagum bapak takjub,1
bapak pagi pagi depan pasar ujungberung suka macet sama dagang pinggir jalan benah bapak ganggu kendara cinta gemar sayang senang sendat serat,0
bangga teu bapak teater anak ekonomi bandung jadi hiji hijina isi acara stai madura angkuh bagak besar hati besar kepala bongkak congkak gagah mangkak megah panggak pongah sombong tinggi hati,1
lanjut bapak dalam lama tinggi tua usang,1
cayoo sukses orang walikota tidak bawa persib juara sukses orang walikota tidak bawa persib juara status photo,0
cinta itu dendam berahi rindu risau sayang,1
bapak sebab celaka teh sanes jalan nu lubang wae eta angkot lamun belok sok tara make sent tah bapak maen belok saenakna,1
coba bapak jalan rajalwali timur pasar andir pagi hari,1
jalan buah batu dekat tol lubang cukup bapak kemarin banyak mobil ngerem dadak akrab damping dempet erat intim karib kental kepil mepet mesra pendek rapat bulat genap kafi komplet layak lengkap lumayan patut penuh sedikit sempurna sepan tamam banter belacak berjebah berlebihan besar deras jamak jenuh lebat luas melacak melimpah mumbung munjung padat penuh ramai,0
bapak,1
gas terus jalan raya sudah gitu buat kereta parahyangan mau berangkat tunggu dulu ah gila harus aku jadi istri ridwan kamil awam abnormal edan gendeng luar biasa majenun miring sedeng sesat akal sinting,0
malam lewat paspati sengaja ingin liat yang kata warna ini keren sangat terima kasih bapak buat bandung jadi lebih warna kenyal pekat galak garang rancak,1
kirim proposal balaikota kalau undang bapak ibu acara seminar cara bagaimana gemerlap,1
bandung smart city proyek apa saja bapak today meeting dengan dutch delegation for cont,1
walikota bandung canang tahun,1
kalau hujan hari alias banjir not gong xi fat chai but ayo ngung xi choi,0
sami sami abah nuhun ridwan alah siah tos lam geningan sok doakeun sing,1
nuhun ridwan alah siah tos lam geningan sok doakeun sing gerak cageur,1
turut dukung bangun bandung rt belanda tindak lanjut kunjung ridwan dalam lama tinggi tua usang,1
bapak mohon izin saya desain tshirt tentang program kerja bapak buat ikut lomba design teu sawios,1
wkwkwk busy at sir what doa you say kababayan in english,1
wihh belanda tarik program kota pintar bandung cakap cerdik licin pandai,1
kalau pipi sampe sekarang kenapa chubby terus bapak bapak nahanya wayah kieu sok lapar,1
ayo sekolah bis sekolah kota bandung hino rs celcius foto,1
good advance for this beloved city today meeting dengan dutch delegation for bandung smart city project,1
haha saja kamu terima kasih saya ajar dari walikota bandung ridwan kamil,1
bapak disdik bandung kurang ramah dalam layan masyarakat umum sering dalam kerja tugas coba tegur bapak analitis bernas intens intern internal jeluk serius kerap langsing ramping analitis bernas intens intern internal jeluk serius,0
jalur koordinasi surat disdik kota bandung disdik provinsi jawa barat contoh disdik provinsi banten,1
gubernur kaltim awang faroek walikota bandung sukses raup dana csr eropa,1
anjing pigking ndasmu anjing ridwan kamil deddy cont,0
ajar pungut biaya naik damri pada hari senin lapor via sms,1
zona merah teh tempat renti motor tea geuning zona merah itu saja bapak,1
temenin you dead bapak bahasa inggrisna jomblo teu payu payu nang taun taun naon,1
bapak nahanya wayah kieu sok lapar,1
most mungkin secara jiwa raga bandung asli banget akan beda jika jabat kota bandung jadi humanis,1
bapak butuh subsidi cinta bapak mohon bantu nuhun bapak dendam berahi rindu risau sayang,1
hahaha bhahaha lol busy at sir what doa,1
rumah bapak ridwan kamil buat ribu botol kratingdeng,1
wakil gubernur jawa barat sama walikota bandung hadir launching tim htt,1
bapak tidak tanggap satpam depan kantor bapak apa kasi bapak,0
assalamua laikum,1
bandung makin laju sama bapak jogja stuck makin kikis node,1
heuh bapak jalan jalan riau gedung sate belakang sampe cont,1
bapak mohon pindah tiang pln tengah jalan jln,0
bapak mau minta pendapat kena apartemen yang bangun bagus dago bapak apa mungkin kapasitas daerah pada apik bagusan bahari baik cakap cantik cemerlang elok gagah indah keren molek mungil necis perfek rancak rupawan tampan,1
gerobak mie mercun unik lhoo bentuk langsung sms saja khusus,1
tahun kota bandung jadi salah satu kota ram dunia dasar survei majalah time,1
folbck kartu keluarga,1
tantang pertama justru pada benah birokrasi moga beri mudah bapak siap bu gampang suang,1
daerah bangbayang dago beneran jadi apartemen,1
bapak bakal musuh produsen mobil motor kampanye sepeda,0
kamis line up bukabareng baksos setiabudi sama anak yatim bapak ridwan kamil,1
bapak ridwan kamil apa kabar bapak,1
wilujeung sahur bapak emil mudah mudah shaumnya lancar aamiin gampang suang gampang suang fasih luntur,1
wilujeng saur bapak emil mugi alloh swt maparin barokah kango urang sadaya amiiin,1
hidup juang henti bismillah,1
allhamdulilah tah teu salah kan jadi walikota idam teh insya allah skatepark hadir tahun depan,1
tah teu salah kan jadi walikota idam teh insya allah skatepark hadir tahun depan,1
warga jadi harus bangun kota salah satu cara tiada keluh,1
sayang sekali bukan urng tarling malam masjid as syifa rw cijambe ujung berung,1
bukan urng tarling malam masjid as syifa rw cijambe ujung berung,1
selamat istirahat kawan suatu hari semua pulang sehat,1
bandung bagaimana video ktp seleksi pedagang kaki lima ibukota,0
lagi benah,1
rawan gempur bandung bapak tempat tinggal saya rw sebut gawat pilu,1
karena butuh ekonomi milik tanah alih fungsi bapak beri solusi bapak terima kasih,1
