text,kelas
cimahi hayang cimbuleuit pan kota bapak naha ciumbuleuit mati lampu bapak,0
jumat sudah ayo ah menggoes bareng hahahahhahah,1
hayu wargi bandung tiasa sarumping mangga ramekeun jalan bandung dinten ieu aku,1
diri taman jomblo bandung ridwan kamil agung dewa jomblo,1
siapa yang jaga siapa yang pelihara kalau rusak kaya begini siapa yang tanggung jawab,0
tetot fera sudah punya sim bapak fera tidak punya sim tapi sudah jalan bapak pagi pagi depan pasar uber,1
beliau lahir pagerageung ti tasik bapak good bye grandpa you will be missed,1
busy at sir what doa you say kababayan in english,1
walikota dengan program biopori saurna kbb plesir hongkong cari bibit cakar langit bade pelak cihideung kitu,1
bapak fera tidak punya sim tapi sudah jalan bapak pagi pagi depan pasar ujungberung suka macet sama dagang pinggir,0
kelurahan sukamaju cimanggis depok urus surat jamsostek hampir bulan belum dapat tandatangan lurah alasan sedang umroh aneh,0
bapak kapan bandung karya bapak rindu diri,1
pagi bapak tinjau empat supratman anak kecil ngemis ibu tunggu setor pom bensin terima kasih bapak,1
walikota bandung lantik elih sudiapermana,1
bapak kagum bapak,1
bapak pagi pagi depan pasar ujungberung suka macet sama dagang pinggir jalan benah bapak ganggu kendara,0
bangga teu bapak teater anak ekonomi bandung jadi hiji hijina isi acara stai madura,1
lanjut bapak,1
cayoo sukses orang walikota tidak bawa persib juara sukses orang walikota tidak bawa persib juara status photo,0
cinta itu,1
bapak sebab celaka teh sanes jalan nu lubang wae eta angkot lamun belok sok tara make sent tah bapak maen belok saenakna,1
coba bapak jalan rajalwali timur pasar andir pagi hari,1
jalan buah batu dekat tol lubang cukup bapak kemarin banyak mobil ngerem dadak,0
bapak,1
gas terus jalan raya sudah gitu buat kereta parahyangan mau berangkat tunggu dulu ah gila harus aku jadi istri ridwan kamil,0
malam lewat paspati sengaja ingin liat yang kata warna ini keren sangat terima kasih bapak buat bandung jadi lebih warna,1
kirim proposal balaikota kalau undang bapak ibu acara seminar cara bagaimana,1
bandung smart city proyek apa saja bapak today meeting dengan dutch delegation for cont,1
walikota bandung canang tahun,1
kalau hujan hari alias banjir not gong xi fat chai but ayo ngung xi choi,0
sami sami abah nuhun ridwan alah siah tos lam geningan sok doakeun sing,1
nuhun ridwan alah siah tos lam geningan sok doakeun sing gerak cageur,1
turut dukung bangun bandung rt belanda tindak lanjut kunjung ridwan,1
bapak mohon izin saya desain tshirt tentang program kerja bapak buat ikut lomba design teu sawios,1
wkwkwk busy at sir what doa you say kababayan in english,1
wihh belanda tarik program kota pintar bandung,1
kalau pipi sampe sekarang kenapa chubby terus bapak bapak nahanya wayah kieu sok lapar,1
ayo sekolah bis sekolah kota bandung hino rs celcius foto,1
good advance for this beloved city today meeting dengan dutch delegation for bandung smart city project,1
haha saja kamu terima kasih saya ajar dari walikota bandung ridwan kamil,1
bapak disdik bandung kurang ramah dalam layan masyarakat umum sering dalam kerja tugas coba tegur bapak,0
jalur koordinasi surat disdik kota bandung disdik provinsi jawa barat contoh disdik provinsi banten,1
gubernur kaltim awang faroek walikota bandung sukses raup dana csr eropa,1
anjing pigking ndasmu anjing ridwan kamil deddy cont,0
ajar pungut biaya naik damri pada hari senin lapor via sms,1
zona merah teh tempat renti motor tea geuning zona merah itu saja bapak,1
temenin you dead bapak bahasa inggrisna jomblo teu payu payu nang taun taun naon,1
bapak nahanya wayah kieu sok lapar,1
most mungkin secara jiwa raga bandung asli banget akan beda jika jabat kota bandung jadi humanis,1
bapak butuh subsidi cinta bapak mohon bantu nuhun bapak,1
hahaha bhahaha lol busy at sir what doa,1
rumah bapak ridwan kamil buat ribu botol kratingdeng,1
wakil gubernur jawa barat sama walikota bandung hadir launching tim htt,1
bapak tidak tanggap satpam depan kantor bapak apa kasi bapak,0
assalamua laikum,1
bandung makin laju sama bapak jogja stuck makin kikis node,1
heuh bapak jalan jalan riau gedung sate belakang sampe cont,1
bapak mohon pindah tiang pln tengah jalan jln,0
bapak mau minta pendapat kena apartemen yang bangun bagus dago bapak apa mungkin kapasitas daerah pada,1
gerobak mie mercun unik lhoo bentuk langsung sms saja,1
tahun kota bandung jadi salah satu kota ram dunia dasar survei majalah time,1
folbck kartu keluarga,1
tantang pertama justru pada benah birokrasi moga beri mudah bapak siap bu,1
daerah bangbayang dago beneran jadi apartemen,1
bapak bakal musuh produsen mobil motor kampanye sepeda,0
kamis line up bukabareng baksos setiabudi sama anak yatim bapak ridwan kamil,1
bapak ridwan kamil apa kabar bapak,1
wilujeung sahur bapak emil mudah mudah shaumnya lancar aamiin,1
wilujeng saur bapak emil mugi alloh swt maparin barokah kango urang sadaya amiiin,1
hidup juang henti bismillah,1
allhamdulilah tah teu salah kan jadi walikota idam teh insya allah skatepark hadir tahun depan,1
tah teu salah kan jadi walikota idam teh insya allah skatepark hadir tahun depan,1
warga jadi harus bangun kota salah satu cara tiada keluh,1
sayang sekali bukan urng tarling malam masjid as syifa rw cijambe ujung berung,1
bukan urng tarling malam masjid as syifa rw cijambe ujung berung,1
selamat istirahat kawan suatu hari semua pulang,1
bandung bagaimana video ktp seleksi pedagang kaki lima ibukota,0
lagi benah,1
rawan gempur bandung bapak tempat tinggal saya rw sebut,1
karena butuh ekonomi milik tanah alih fungsi bapak beri solusi bapak terima kasih,1
masyarakat solat ied tempat main anak perlu masyarakat jual yang milik hak atas tanah tersebut,1
bapak daerah kiaracondong lurah kebonjayanti rw belakang polisi sektor kiaracondong bidang tanah yang biasa guna,1
goodluck mas emil for today,1
segera selamat istirahat kawan suatu hari semua pulang,1
ridwankamil asa tidak pernah dengar program perintah buat sejahtera gelandang,0
wah euy asli skandal segera buku bapak ajak sare tah bapak sama bella,1
yaah sudah mulai dik pdahal masih baru yaa pemerintah kota tidak bantu bagaimana nasib hiks,0
bapak emil langkah awal urai macet daerah sub urban seperti ujungberung seperti apa saya harap solusi yang solutif,0
waduh sudah kena sekarang,1
bapak selamat malam masalah bersih paling utama utama bersih organisir hasil untung,1
sami sami mung ka anjeunna allah sadaya urus mulang taya pis lolongkrang manusa takabur dina getak hirup kahirupannana,1
supaya seperti beliau jam begini enak poin akun twitternya,1
pulang akhir kali moga jejak ilmu baik bersih lekat bandung insha allah,1
waduh,0
rt selamat istirahat kawan suatu hari semua pulang,1
selamat rehat bapak selamat istirahat kawan suatu hari semua pulang,1
bapak punten selamat istirahat kawan suatu hari semua pulang,1
